Site,Confidence,File,Date,Year,Month,Day,HH,MM
R503,0.797,0.797_1_R503_20241224_182000_39.00s_42.00s.wav,24/12/2024,2024,12,24,18,20
R503,0.797,0.797_1_R503_20241226_104400_0.00s_3.00s.wav,26/12/2024,2024,12,26,10,44
R302,0.786,0.786_1_R302_20241223_092600_30.00s_33.00s.wav,23/12/2024,2024,12,23,9,26
R451,0.784,0.784_1_R451_20241218_133800_42.00s_45.00s.wav,18/12/2024,2024,12,18,13,38
R613,0.783,0.783_2_R613_20241221_182000_42.00s_45.00s.wav,21/12/2024,2024,12,21,18,20
R502,0.774,0.774_1_R502_20250103_135000_27.00s_30.00s.wav,03/01/2025,2025,1,3,13,50
R153,0.771,0.771_1_R153_20241024_114600_48.0s_51.0s.wav,24/10/2024,2024,10,24,11,46
R205,0.771,0.771_1_R205_20241227_114200_39.00s_42.00s.wav,27/12/2024,2024,12,27,11,42
R601,0.769,0.769_1_R601_20241029_090600_15.0s_18.0s.wav,29/10/2024,2024,10,29,9,6
R613,0.769,0.769_1_R613_20241219_181000_9.00s_12.00s.wav,19/12/2024,2024,12,19,18,10
R451,0.765,0.765_1_R451_20240811_171600_30.0s_33.0s.wav,11/08/2024,2024,8,11,17,16
R302,0.76,0.760_1_R302_20240814_071400_39.0s_42.0s.wav,14/08/2024,2024,8,14,7,14
R514,0.759,0.759_1_R514_20250105_084400_9.0s_12.0s.wav,05/01/2025,2025,1,5,8,44
R302,0.755,0.755_1_R302_20240804_154000_9.0s_12.0s.wav,04/08/2024,2024,8,4,15,40
R203,0.752,0.752_3_R203_20241222_160600_45.00s_48.00s.wav,22/12/2024,2024,12,22,16,6
R451,0.75,0.750_1_R451_20240807_163400_42.0s_45.0s.wav,07/08/2024,2024,8,7,16,34
R305,0.743,0.743_1_R305_20241222_183600_42.00s_45.00s.wav,22/12/2024,2024,12,22,18,36
P354,0.74,0.740_1_P354_20240504_184600_3.0s_6.0s.wav,04/05/2024,2024,5,4,18,46
R451,0.737,0.737_1_R451_20240810_181600_6.0s_9.0s.wav,10/08/2024,2024,8,10,18,16
R512,0.736,0.736_1_R512_20241022_182800_33.0s_36.0s.wav,22/10/2024,2024,10,22,18,28
R304,0.735,0.735_1_R304_20240815_133400_54.0s_57.0s.wav,15/08/2024,2024,8,15,13,34
R305,0.728,0.728_1_R305_20240807_172200_21.0s_24.0s.wav,07/08/2024,2024,8,7,17,22
R305,0.728,0.728_1_R305_20241225_174000_48.00s_51.00s.wav,25/12/2024,2024,12,25,17,40
R515,0.726,0.726_1_R515_20241231_170400_48.0s_51.0s.wav,31/12/2024,2024,12,31,17,4
R513,0.726,0.726_1_R513_20241026_104200_30.0s_33.0s.wav,26/10/2024,2024,10,26,10,42
R305,0.72,0.720_2_R305_20250102_170400_21.00s_24.00s.wav,02/01/2025,2025,1,2,17,4
R303,0.716,0.716_1_R303_20241219_181400_6.00s_9.00s.wav,19/12/2024,2024,12,19,18,14
R302,0.707,0.707_1_R302_20240814_080000_54.0s_57.0s.wav,14/08/2024,2024,8,14,8,0
R502,0.707,0.707_1_R502_20250102_153200_39.00s_42.00s.wav,02/01/2025,2025,1,2,15,32
R205,0.706,0.706_1_R205_20241217_151400_15.00s_18.00s.wav,17/12/2024,2024,12,17,15,14
R451,0.705,0.705_1_R451_20240804_184800_6.0s_9.0s.wav,04/08/2024,2024,8,4,18,48
R302,0.705,0.705_1_R302_20240810_121200_0.0s_3.0s.wav,10/08/2024,2024,8,10,12,12
R305,0.704,0.704_1_R305_20241223_072400_27.00s_30.00s.wav,23/12/2024,2024,12,23,7,24
R613,0.704,0.704_4_R613_20250105_162200_36.00s_39.00s.wav,05/01/2025,2025,1,5,16,22
R313,0.703,0.703_1_R313_20240803_061200_18.0s_21.0s.wav,03/08/2024,2024,8,3,6,12
R302,0.703,0.703_1_R302_20240814_075800_12.0s_15.0s.wav,14/08/2024,2024,8,14,7,58
R106,0.701,0.701_1_R106_20241220_095200_51.00s_54.00s.wav,20/12/2024,2024,12,20,9,52
R305,0.695,0.695_1_R305_20250105_183600_0.00s_3.00s.wav,05/01/2025,2025,1,5,18,36
R451,0.691,0.691_1_R451_20240817_182200_57.0s_60.0s.wav,17/08/2024,2024,8,17,18,22
R502,0.689,0.689_1_R502_20240816_171400_54.0s_57.0s.wav,16/08/2024,2024,8,16,17,14
R601,0.688,0.688_1_R601_20241028_173400_42.0s_45.0s.wav,28/10/2024,2024,10,28,17,34
R205,0.687,0.687_1_R205_20241025_112000_24.0s_27.0s.wav,25/10/2024,2024,10,25,11,20
R451,0.681,0.681_1_R451_20241229_165000_30.00s_33.00s.wav,29/12/2024,2024,12,29,16,50
R511,0.676,0.676_1_R511_20241228_183400_54.00s_57.00s.wav,28/12/2024,2024,12,28,18,34
R451,0.672,0.672_1_R451_20241222_180200_48.00s_51.00s.wav,22/12/2024,2024,12,22,18,2
R503,0.672,0.672_2_R503_20241226_104600_42.00s_45.00s.wav,26/12/2024,2024,12,26,10,46
R401,0.667,0.667_1_R401_20241231_151800_18.00s_21.00s.wav,31/12/2024,2024,12,31,15,18
R305,0.661,0.661_1_R305_20241230_180600_9.00s_12.00s.wav,30/12/2024,2024,12,30,18,6
R303,0.66,0.660_2_R303_20250102_170600_54.00s_57.00s.wav,02/01/2025,2025,1,2,17,6
R104,0.655,0.655_1_R104_20240902_110600_30.0s_33.0s.wav,02/09/2024,2024,9,2,11,6
R305,0.651,0.651_1_R305_20241224_065800_57.00s_60.00s.wav,24/12/2024,2024,12,24,6,58
R305,0.642,0.642_1_R305_20241228_182600_33.00s_36.00s.wav,28/12/2024,2024,12,28,18,26
R302,0.64,0.640_1_R302_20241226_145000_15.00s_18.00s.wav,26/12/2024,2024,12,26,14,50
R401,0.633,0.633_1_R401_20241226_134600_3.00s_6.00s.wav,26/12/2024,2024,12,26,13,46
R101,0.621,0.621_1_R101_20241226_141600_12.00s_15.00s.wav,26/12/2024,2024,12,26,14,16
R613,0.62,0.620_1_R613_20241221_183600_33.00s_36.00s.wav,21/12/2024,2024,12,21,18,36
R305,0.617,0.617_2_R305_20241225_174000_57.00s_60.00s.wav,25/12/2024,2024,12,25,17,40
R512,0.613,0.613_1_R512_20250102_084800_15.00s_18.00s.wav,02/01/2025,2025,1,2,8,48
R305,0.607,0.607_1_R305_20250105_175600_33.00s_36.00s.wav,05/01/2025,2025,1,5,17,56
R512,0.607,0.607_1_R512_20250105_085200_21.00s_24.00s.wav,05/01/2025,2025,1,5,8,52
R203,0.607,0.607_2_R203_20241222_160600_48.00s_51.00s.wav,22/12/2024,2024,12,22,16,6
R305,0.605,0.605_1_R305_20241220_174200_33.00s_36.00s.wav,20/12/2024,2024,12,20,17,42
R423,0.604,0.604_1_R423_20240426_070400_0.0s_3.0s.wav,26/04/2024,2024,4,26,7,4
R305,0.6,0.600_1_R305_20250101_071000_48.00s_51.00s.wav,01/01/2025,2025,1,1,7,10
R305,0.598,0.598_2_R305_20241225_175800_30.00s_33.00s.wav,25/12/2024,2024,12,25,17,58
R154,0.597,0.597_2_R154_20241225_080000_57.00s_60.00s.wav,25/12/2024,2024,12,25,8,0
R513,0.594,0.594_1_R513_20241029_150800_48.0s_51.0s.wav,29/10/2024,2024,10,29,15,8
R101,0.59,0.590_1_R101_20241218_161000_24.00s_27.00s.wav,18/12/2024,2024,12,18,16,10
R511,0.589,0.589_1_R511_20241228_183000_57.00s_60.00s.wav,28/12/2024,2024,12,28,18,30
R613,0.587,0.587_1_R613_20241029_062800_0.0s_3.0s.wav,29/10/2024,2024,10,29,6,28
R304,0.586,0.586_1_R304_20240805_063400_30.0s_33.0s.wav,05/08/2024,2024,8,5,6,34
R101,0.583,0.583_1_R101_20241217_165600_42.00s_45.00s.wav,17/12/2024,2024,12,17,16,56
R401,0.582,0.582_1_R401_20240808_191800_48.0s_51.0s.wav,08/08/2024,2024,8,8,19,18
R503,0.581,0.581_1_R503_20241226_105400_42.00s_45.00s.wav,26/12/2024,2024,12,26,10,54
R401,0.58,0.580_1_R401_20240808_191600_42.0s_45.0s.wav,08/08/2024,2024,8,8,19,16
R503,0.575,0.575_1_R503_20240804_083400_6.0s_9.0s.wav,04/08/2024,2024,8,4,8,34
R153,0.574,0.574_1_R153_20250104_132200_51.00s_54.00s.wav,04/01/2025,2025,1,4,13,22
R418,0.573,0.573_1_R418_20240802_121800_48.0s_51.0s.wav,02/08/2024,2024,8,2,12,18
R205,0.572,0.572_2_R205_20241231_154800_48.00s_51.00s.wav,31/12/2024,2024,12,31,15,48
P354,0.57,0.570_1_P354_20240424_195800_33.0s_36.0s.wav,24/04/2024,2024,4,24,19,58
R305,0.568,0.568_1_R305_20241230_183600_51.00s_54.00s.wav,30/12/2024,2024,12,30,18,36
R503,0.565,0.565_1_R503_20241226_105600_18.00s_21.00s.wav,26/12/2024,2024,12,26,10,56
R305,0.565,0.565_1_R305_20241229_174200_51.00s_54.00s.wav,29/12/2024,2024,12,29,17,42
R601,0.561,0.561_1_R601_20241102_125400_9.0s_12.0s.wav,02/11/2024,2024,11,2,12,54
R303,0.56,0.560_2_R303_20241230_183600_54.00s_57.00s.wav,30/12/2024,2024,12,30,18,36
R305,0.558,0.558_2_R305_20250105_185600_3.00s_6.00s.wav,05/01/2025,2025,1,5,18,56
R451,0.555,0.555_1_R451_20240814_174000_24.0s_27.0s.wav,14/08/2024,2024,8,14,17,40
R305,0.555,0.555_1_R305_20241231_174000_24.00s_27.00s.wav,31/12/2024,2024,12,31,17,40
R503,0.545,0.545_1_R503_20241226_104600_9.00s_12.00s.wav,26/12/2024,2024,12,26,10,46
R153,0.544,0.544_1_R153_20250104_132000_21.00s_24.00s.wav,04/01/2025,2025,1,4,13,20
R503,0.541,0.541_1_R503_20240808_193600_45.0s_48.0s.wav,08/08/2024,2024,8,8,19,36
R401,0.538,0.538_1_R401_20240808_191800_45.0s_48.0s.wav,08/08/2024,2024,8,8,19,18
R302,0.536,0.536_1_R302_20240805_083000_45.0s_48.0s.wav,05/08/2024,2024,8,5,8,30
R514,0.532,0.532_1_R514_20241229_182600_9.0s_12.0s.wav,29/12/2024,2024,12,29,18,26
R302,0.532,0.532_1_R302_20240805_142200_45.0s_48.0s.wav,05/08/2024,2024,8,5,14,22
R154,0.531,0.531_1_R154_20241224_160400_45.00s_48.00s.wav,24/12/2024,2024,12,24,16,4
R305,0.53,0.530_2_R305_20241219_181400_9.00s_12.00s.wav,19/12/2024,2024,12,19,18,14
R153,0.527,0.527_2_R153_20250104_132000_15.00s_18.00s.wav,04/01/2025,2025,1,4,13,20
R305,0.526,0.526_1_R305_20241219_182400_21.00s_24.00s.wav,19/12/2024,2024,12,19,18,24
R503,0.524,0.524_1_R503_20241222_154600_12.00s_15.00s.wav,22/12/2024,2024,12,22,15,46
R513,0.52,0.520_1_R513_20241102_180400_6.0s_9.0s.wav,02/11/2024,2024,11,2,18,4
R613,0.513,0.513_1_R613_20241029_062800_6.0s_9.0s.wav,29/10/2024,2024,10,29,6,28
R305,0.51,0.510_1_R305_20241219_174800_18.00s_21.00s.wav,19/12/2024,2024,12,19,17,48
R153,0.508,0.508_1_R153_20250104_134400_9.00s_12.00s.wav,04/01/2025,2025,1,4,13,44
R205,0.508,0.508_1_R205_20241220_141000_15.00s_18.00s.wav,20/12/2024,2024,12,20,14,10
R613,0.5,0.500_1_R613_20241029_062800_3.0s_6.0s.wav,29/10/2024,2024,10,29,6,28
R305,0.494,0.494_1_R305_20241221_173600_6.00s_9.00s.wav,21/12/2024,2024,12,21,17,36
R303,0.49,0.490_2_R303_20250102_183200_45.00s_48.00s.wav,02/01/2025,2025,1,2,18,32
R305,0.489,0.489_2_R305_20250102_183200_39.00s_42.00s.wav,02/01/2025,2025,1,2,18,32
R401,0.488,0.488_1_R401_20241231_151600_9.00s_12.00s.wav,31/12/2024,2024,12,31,15,16
R602,0.487,0.487_1_R602_20241020_081000_9.0s_12.0s.wav,20/10/2024,2024,10,20,8,10
R153,0.487,0.487_2_R153_20250104_132200_42.00s_45.00s.wav,04/01/2025,2025,1,4,13,22
R302,0.486,0.486_1_R302_20241221_173600_3.00s_6.00s.wav,21/12/2024,2024,12,21,17,36
R205,0.486,0.486_1_R205_20241229_171200_24.00s_27.00s.wav,29/12/2024,2024,12,29,17,12
R104,0.482,0.482_1_R104_20241217_082400_12.00s_15.00s.wav,17/12/2024,2024,12,17,8,24
R512,0.478,0.478_1_R512_20241018_174200_57.0s_60.0s.wav,18/10/2024,2024,10,18,17,42
R303,0.471,0.471_1_R303_20241230_181800_6.00s_9.00s.wav,30/12/2024,2024,12,30,18,18
R503,0.47,0.470_2_R503_20241224_182400_51.00s_54.00s.wav,24/12/2024,2024,12,24,18,24
R101,0.468,0.468_2_R101_20241217_165600_48.00s_51.00s.wav,17/12/2024,2024,12,17,16,56
R205,0.468,0.468_1_R205_20250101_183200_51.00s_54.00s.wav,01/01/2025,2025,1,1,18,32
R305,0.464,0.464_2_R305_20241224_073600_21.00s_24.00s.wav,24/12/2024,2024,12,24,7,36
R101,0.462,0.462_1_R101_20241217_165400_30.00s_33.00s.wav,17/12/2024,2024,12,17,16,54
R613,0.458,0.458_1_R613_20241030_160000_51.0s_54.0s.wav,30/10/2024,2024,10,30,16,0
R305,0.457,0.457_1_R305_20240817_090000_6.0s_9.0s.wav,17/08/2024,2024,8,17,9,0
R305,0.457,0.457_1_R305_20241228_165800_24.00s_27.00s.wav,28/12/2024,2024,12,28,16,58
R613,0.456,0.456_1_R613_20250105_162200_30.00s_33.00s.wav,05/01/2025,2025,1,5,16,22
R205,0.455,0.455_1_R205_20241217_145600_42.00s_45.00s.wav,17/12/2024,2024,12,17,14,56
R302,0.455,0.455_1_R302_20241223_085800_33.00s_36.00s.wav,23/12/2024,2024,12,23,8,58
R614,0.451,0.451_1_R614_20250103_111400_30.00s_33.00s.wav,03/01/2025,2025,1,3,11,14
R512,0.446,0.446_1_R512_20241103_180600_27.0s_30.0s.wav,03/11/2024,2024,11,3,18,6
R614,0.442,0.442_1_R614_20241026_123800_9.0s_12.0s.wav,26/10/2024,2024,10,26,12,38
R614,0.441,0.441_1_R614_20241017_132400_45.0s_48.0s.wav,17/10/2024,2024,10,17,13,24
R503,0.436,0.436_1_R503_20240819_171800_54.0s_57.0s.wav,19/08/2024,2024,8,19,17,18
R305,0.435,0.435_1_R305_20241223_070400_15.00s_18.00s.wav,23/12/2024,2024,12,23,7,4
R503,0.434,0.434_1_R503_20240808_193600_48.0s_51.0s.wav,08/08/2024,2024,8,8,19,36
R154,0.434,0.434_2_R154_20250102_182600_45.00s_48.00s.wav,02/01/2025,2025,1,2,18,26
R302,0.428,0.428_1_R302_20250105_095800_0.00s_3.00s.wav,05/01/2025,2025,1,5,9,58
R502,0.426,0.426_1_R502_20250103_153200_24.00s_27.00s.wav,03/01/2025,2025,1,3,15,32
R613,0.426,0.426_3_R613_20250105_162200_33.00s_36.00s.wav,05/01/2025,2025,1,5,16,22
R503,0.421,0.421_1_R503_20241231_174800_51.00s_54.00s.wav,31/12/2024,2024,12,31,17,48
R305,0.416,0.416_1_R305_20241228_163000_12.00s_15.00s.wav,28/12/2024,2024,12,28,16,30
R451,0.414,0.414_1_R451_20240731_154600_42.0s_45.0s.wav,31/07/2024,2024,7,31,15,46
R451,0.413,0.413_1_R451_20241224_150200_3.00s_6.00s.wav,24/12/2024,2024,12,24,15,2
R513,0.412,0.412_1_R513_20241103_182200_21.0s_24.0s.wav,03/11/2024,2024,11,3,18,22
R101,0.409,0.409_1_R101_20241217_165200_12.00s_15.00s.wav,17/12/2024,2024,12,17,16,52
R205,0.407,0.407_1_R205_20241222_181600_3.00s_6.00s.wav,22/12/2024,2024,12,22,18,16
R205,0.406,0.406_1_R205_20241218_085000_9.00s_12.00s.wav,18/12/2024,2024,12,18,8,50
R302,0.401,0.401_1_R302_20241228_161200_27.00s_30.00s.wav,28/12/2024,2024,12,28,16,12
R451,0.4,0.400_1_R451_20241224_150000_48.00s_51.00s.wav,24/12/2024,2024,12,24,15,0
R101,0.389,0.389_2_R101_20241226_141600_15.00s_18.00s.wav,26/12/2024,2024,12,26,14,16
R205,0.383,0.383_2_R205_20241220_113400_39.00s_42.00s.wav,20/12/2024,2024,12,20,11,34
R513,0.381,0.381_1_R513_20241104_171000_0.0s_3.0s.wav,04/11/2024,2024,11,4,17,10
R303,0.381,0.381_1_R303_20241230_183600_51.00s_54.00s.wav,30/12/2024,2024,12,30,18,36
R305,0.38,0.380_1_R305_20241229_145600_54.00s_57.00s.wav,29/12/2024,2024,12,29,14,56
R304,0.373,0.373_1_R304_20240808_085800_3.0s_6.0s.wav,08/08/2024,2024,8,8,8,58
R502,0.372,0.372_1_R502_20240813_064200_45.0s_48.0s.wav,13/08/2024,2024,8,13,6,42
P354,0.372,0.372_1_P354_20240427_112600_33.0s_36.0s.wav,27/04/2024,2024,4,27,11,26
R303,0.372,0.372_1_R303_20241230_180600_48.00s_51.00s.wav,30/12/2024,2024,12,30,18,6
R305,0.369,0.369_1_R305_20241230_175800_42.00s_45.00s.wav,30/12/2024,2024,12,30,17,58
R512,0.369,0.369_1_R512_20250107_183800_27.00s_30.00s.wav,07/01/2025,2025,1,7,18,38
R305,0.368,0.368_1_R305_20240810_113800_54.0s_57.0s.wav,10/08/2024,2024,8,10,11,38
P354,0.364,0.364_1_P354_20240424_195800_24.0s_27.0s.wav,24/04/2024,2024,4,24,19,58
R104,0.363,0.363_1_R104_20240911_081800_39.0s_42.0s.wav,11/09/2024,2024,9,11,8,18
R451,0.363,0.363_2_R451_20241224_150000_12.00s_15.00s.wav,24/12/2024,2024,12,24,15,0
