Site,Confidence,File,Date,Year,Month,Day,HH,MM
R503,0.158,0.158_1_R503_20240808_185400_51.0s_54.0s.wav,08/08/2024,2024,8,8,18,54
R515,0.155,0.155_1_R515_20250106_184800_24.0s_27.0s.wav,06/01/2025,2025,1,6,18,48
R514,0.155,0.155_1_R514_20241227_182800_27.0s_30.0s.wav,27/12/2024,2024,12,27,18,28
R514,0.153,0.153_1_R514_20250104_184200_51.0s_54.0s.wav,04/01/2025,2025,1,4,18,42
R601,0.153,0.153_1_R601_20241230_182200_42.00s_45.00s.wav,30/12/2024,2024,12,30,18,22
R405,0.151,0.151_1_R405_20241226_133800_9.00s_12.00s.wav,26/12/2024,2024,12,26,13,38
R305,0.15,0.150_1_R305_20241220_160800_39.00s_42.00s.wav,20/12/2024,2024,12,20,16,8
R305,0.149,0.149_2_R305_20250101_071000_42.00s_45.00s.wav,01/01/2025,2025,1,1,7,10
R451,0.149,0.149_1_R451_20241219_142200_39.00s_42.00s.wav,19/12/2024,2024,12,19,14,22
R613,0.149,0.149_4_R613_20250103_173400_42.00s_45.00s.wav,03/01/2025,2025,1,3,17,34
R401,0.148,0.148_1_R401_20240815_180400_21.0s_24.0s.wav,15/08/2024,2024,8,15,18,4
R304,0.144,0.144_1_R304_20240809_063800_6.0s_9.0s.wav,09/08/2024,2024,8,9,6,38
R401,0.144,0.144_1_R401_20241231_150000_39.00s_42.00s.wav,31/12/2024,2024,12,31,15,0
R426,0.144,0.144_1_R426_20241225_121800_9.00s_12.00s.wav,25/12/2024,2024,12,25,12,18
R305,0.144,0.144_1_R305_20250103_171000_12.00s_15.00s.wav,03/01/2025,2025,1,3,17,10
R401,0.141,0.141_1_R401_20241226_140800_36.00s_39.00s.wav,26/12/2024,2024,12,26,14,8
R305,0.14,0.140_1_R305_20240816_161800_24.0s_27.0s.wav,16/08/2024,2024,8,16,16,18
R401,0.14,0.140_1_R401_20241226_141000_36.00s_39.00s.wav,26/12/2024,2024,12,26,14,10
R303,0.139,0.139_1_R303_20250102_183200_48.00s_51.00s.wav,02/01/2025,2025,1,2,18,32
R154,0.138,0.138_1_R154_20241224_161200_15.00s_18.00s.wav,24/12/2024,2024,12,24,16,12
R515,0.136,0.136_1_R515_20241226_081200_30.0s_33.0s.wav,26/12/2024,2024,12,26,8,12
R451,0.136,0.136_1_R451_20241230_085200_12.00s_15.00s.wav,30/12/2024,2024,12,30,8,52
R423,0.135,0.135_1_R423_20240511_191800_27.0s_30.0s.wav,11/05/2024,2024,5,11,19,18
R614,0.131,0.131_1_R614_20241231_112400_42.00s_45.00s.wav,31/12/2024,2024,12,31,11,24
R303,0.129,0.129_1_R303_20240801_193200_33.0s_36.0s.wav,01/08/2024,2024,8,1,19,32
